iter	Passed	Remaining
0	48	48917
1	50	25309
2	56	18626
3	58	14652
4	61	12240
5	64	10636
6	65	9255
7	67	8321
8	68	7567
9	73	7324
10	75	6801
11	77	6367
12	94	7167
13	95	6754
14	97	6400
15	101	6270
16	107	6219
17	117	6435
18	123	6398
19	128	6295
20	132	6163
21	133	5946
22	135	5746
23	136	5557
24	143	5597
25	152	5710
26	157	5662
27	163	5691
28	166	5590
29	170	5504
30	172	5391
31	179	5434
32	184	5415
33	186	5296
34	191	5275
35	193	5181
36	197	5140
37	198	5036
38	202	4988
39	203	4892
40	205	4800
41	221	5048
42	224	4999
43	226	4911
44	237	5049
45	239	4961
46	240	4879
47	241	4798
48	261	5069
49	264	5029
50	268	4992
51	277	5062
52	285	5093
53	289	5073
54	292	5019
55	293	4952
56	295	4886
57	297	4824
58	299	4782
59	304	4770
60	308	4749
61	310	4694
62	315	4695
63	317	4637
64	318	4586
65	324	4594
66	330	4597
67	331	4545
68	333	4494
69	334	4445
70	336	4398
71	338	4357
72	339	4310
73	341	4267
74	342	4226
75	344	4184
76	345	4141
77	351	4151
78	355	4145
79	356	4105
80	359	4073
81	360	4039
82	362	4006
83	363	3969
84	365	3932
85	366	3897
86	368	3862
87	369	3829
88	372	3814
89	376	3810
90	377	3771
91	381	3765
92	386	3768
93	387	3737
94	390	3721
95	392	3691
96	393	3662
97	394	3632
98	397	3619
99	400	3601
100	403	3594
101	408	3598
102	410	3571
103	411	3544
104	412	3518
105	414	3493
106	415	3467
107	416	3440
108	417	3415
109	418	3385
110	419	3362
111	421	3338
112	421	3308
113	423	3292
114	426	3283
115	429	3274
116	431	3252
117	438	3276
118	439	3255
119	440	3233
120	442	3217
121	445	3205
122	446	3187
123	448	3166
124	449	3147
125	450	3128
126	452	3111
127	455	3102
128	456	3084
129	460	3082
130	461	3064
131	463	3047
132	464	3030
133	466	3013
134	467	2997
135	470	2990
136	472	2974
137	473	2957
138	474	2940
139	479	2944
140	481	2931
141	483	2920
142	484	2904
143	486	2889
144	487	2874
145	494	2890
146	497	2884
147	499	2873
148	501	2864
149	503	2852
150	505	2841
151	507	2833
152	509	2823
153	512	2813
154	513	2798
155	515	2790
156	517	2777
157	519	2765
158	521	2759
159	523	2745
160	524	2732
161	525	2719
162	526	2706
163	528	2692
164	529	2679
165	530	2667
166	532	2654
167	533	2642
168	535	2631
169	536	2620
170	538	2609
171	539	2598
172	541	2587
173	542	2573
174	551	2599
175	553	2592
176	558	2594
177	561	2592
178	564	2586
179	565	2578
180	567	2568
181	569	2560
182	571	2550
183	573	2541
184	574	2530
185	576	2520
186	577	2511
187	582	2516
188	585	2512
189	588	2510
190	590	2501
191	600	2527
192	605	2529
193	608	2529
194	611	2525
195	614	2522
196	616	2513
197	618	2504
198	619	2495
199	621	2486
200	625	2486
201	631	2494
202	634	2490
203	635	2480
204	637	2471
205	638	2461
206	642	2462
207	647	2464
208	649	2457
209	650	2448
210	652	2438
211	655	2438
212	660	2441
213	662	2433
214	664	2427
215	666	2418
216	667	2409
217	669	2400
218	670	2391
219	672	2384
220	673	2375
221	675	2365
222	676	2356
223	677	2347
224	679	2338
225	680	2330
226	681	2321
227	683	2313
228	684	2304
229	686	2296
230	688	2290
231	689	2282
232	691	2275
233	694	2272
234	695	2264
235	702	2272
236	704	2268
237	706	2261
238	709	2257
239	711	2252
240	712	2245
241	714	2237
242	715	2229
243	716	2221
244	718	2213
245	719	2205
246	720	2197
247	722	2191
248	723	2181
249	724	2174
250	728	2173
251	730	2167
252	731	2160
253	732	2152
254	734	2145
255	735	2137
256	737	2130
257	738	2123
258	741	2122
259	743	2117
260	745	2111
261	747	2105
262	752	2108
263	754	2102
264	756	2097
265	757	2090
266	760	2088
267	764	2087
268	765	2080
269	767	2074
270	772	2077
271	776	2078
272	778	2072
273	779	2066
274	781	2059
275	782	2053
276	784	2047
277	787	2044
278	788	2038
279	790	2033
280	793	2029
281	797	2030
282	801	2030
283	803	2025
284	807	2025
285	809	2019
286	810	2013
287	813	2010
288	817	2010
289	818	2004
290	820	1999
291	822	1993
292	825	1991
293	827	1986
294	832	1988
295	833	1982
296	835	1977
297	836	1971
298	847	1985
299	849	1982
300	850	1976
301	857	1982
302	859	1977
303	861	1971
304	862	1966
305	864	1960
306	880	1987
307	882	1982
308	883	1976
309	885	1970
310	886	1964
311	888	1958
312	890	1953
313	891	1947
314	892	1941
315	895	1938
316	899	1938
317	901	1932
318	904	1930
319	905	1924
320	908	1921
321	909	1915
322	911	1910
323	913	1905
324	917	1906
325	919	1900
326	920	1895
327	927	1901
328	931	1900
329	933	1894
330	936	1893
331	941	1893
332	942	1887
333	944	1884
334	946	1878
335	952	1881
336	954	1877
337	955	1871
338	957	1866
339	958	1860
340	962	1860
341	964	1854
342	965	1849
343	968	1846
344	969	1840
345	977	1848
346	980	1844
347	981	1839
348	985	1838
349	987	1833
350	988	1827
351	993	1828
352	994	1823
353	996	1819
354	1000	1817
355	1002	1813
356	1003	1808
357	1005	1802
358	1006	1797
359	1008	1792
360	1009	1787
361	1011	1782
362	1015	1782
363	1021	1784
364	1022	1779
365	1026	1777
366	1027	1772
367	1028	1766
368	1030	1761
369	1032	1757
370	1034	1753
371	1035	1748
372	1037	1743
373	1039	1739
374	1040	1734
375	1041	1729
376	1043	1723
377	1044	1719
378	1047	1715
379	1050	1713
380	1053	1712
381	1057	1710
382	1058	1705
383	1062	1704
384	1065	1701
385	1066	1697
386	1068	1692
387	1069	1687
388	1073	1685
389	1074	1680
390	1076	1676
391	1077	1671
392	1078	1666
393	1081	1663
394	1083	1659
395	1084	1654
396	1086	1650
397	1088	1646
398	1091	1643
399	1092	1639
400	1096	1637
401	1098	1633
402	1100	1630
403	1101	1625
404	1103	1620
405	1104	1616
406	1106	1612
407	1108	1608
408	1112	1607
409	1113	1602
410	1116	1600
411	1118	1596
412	1123	1596
413	1125	1593
414	1131	1594
415	1134	1592
416	1135	1587
417	1137	1583
418	1142	1584
419	1148	1585
420	1154	1588
421	1157	1584
422	1158	1580
423	1163	1581
424	1167	1579
425	1169	1575
426	1170	1570
427	1172	1566
428	1174	1563
429	1177	1560
430	1178	1556
431	1180	1551
432	1181	1547
433	1183	1543
434	1184	1538
435	1186	1534
436	1187	1529
437	1189	1525
438	1190	1521
439	1192	1517
440	1193	1512
441	1194	1507
442	1195	1503
443	1197	1498
444	1198	1494
445	1199	1490
446	1201	1485
447	1202	1481
448	1204	1477
449	1205	1473
450	1206	1469
451	1210	1467
452	1211	1463
453	1215	1462
454	1217	1458
455	1225	1461
456	1229	1460
457	1232	1458
458	1234	1455
459	1237	1452
460	1241	1451
461	1244	1448
462	1246	1445
463	1248	1442
464	1250	1439
465	1254	1438
466	1257	1435
467	1258	1430
468	1260	1426
469	1261	1422
470	1263	1418
471	1264	1414
472	1266	1410
473	1267	1407
474	1269	1403
475	1271	1399
476	1272	1395
477	1274	1391
478	1275	1387
479	1277	1383
480	1278	1379
481	1280	1376
482	1282	1372
483	1283	1368
484	1284	1364
485	1286	1360
486	1287	1356
487	1288	1352
488	1290	1348
489	1291	1344
490	1293	1340
491	1295	1337
492	1296	1333
493	1298	1329
494	1299	1326
495	1301	1322
496	1302	1318
497	1304	1314
498	1305	1310
499	1307	1307
500	1308	1303
501	1309	1299
502	1311	1295
503	1312	1291
504	1313	1287
505	1315	1284
506	1316	1280
507	1317	1276
508	1319	1272
509	1320	1268
510	1322	1265
511	1323	1261
512	1325	1258
513	1326	1254
514	1328	1250
515	1329	1247
516	1330	1243
517	1332	1239
518	1333	1236
519	1335	1232
520	1336	1228
521	1338	1225
522	1339	1222
523	1341	1218
524	1342	1214
525	1344	1211
526	1345	1207
527	1346	1203
528	1348	1200
529	1349	1196
530	1350	1193
531	1352	1189
532	1353	1185
533	1354	1182
534	1356	1178
535	1357	1174
536	1358	1171
537	1359	1167
538	1361	1164
539	1362	1160
540	1363	1156
541	1364	1153
542	1366	1149
543	1367	1146
544	1368	1142
545	1369	1138
546	1370	1135
547	1372	1131
548	1373	1128
549	1374	1124
550	1375	1121
551	1377	1117
552	1378	1114
553	1379	1110
554	1381	1107
555	1382	1103
556	1383	1100
557	1385	1097
558	1386	1093
559	1387	1090
560	1389	1087
561	1390	1084
562	1392	1080
563	1393	1077
564	1395	1074
565	1396	1070
